"2021-04-06 11:18:57 INFO  s.t.R.RestApiProjectApplication - Starting RestApiProjectApplication using Java 11.0.10 on DESKTOP-F4UDU2U with PID 9820 (C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project\target\classes started by Stefan in C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project)
""2021-04-06 11:19:51 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2021-04-06 11:19:52 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2021-04-06 11:19:52 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2021-04-06 11:19:53 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2021-04-06 11:19:53 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2021-04-06 11:19:53 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2021-04-06 11:19:53 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4b37d1a4, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d5435d4, org.springframework.security.web.header.HeaderWriterFilter@5b2fc2c0, org.springframework.security.web.authentication.logout.LogoutFilter@5fd5d6d1, stefan.toth.RestAPIProject.config.security.JwtFilter@790d629a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@576a8b00, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@23f539df, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@34114276, org.springframework.security.web.session.SessionManagementFilter@7369208e, org.springframework.security.web.access.ExceptionTranslationFilter@3da55998, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@893081e]
""2021-04-06 11:19:53 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2021-04-06 11:19:54 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-04-06 11:19:54 INFO  s.t.R.RestApiProjectApplication - Started RestApiProjectApplication in 4.832 seconds (JVM running for 5.277)
""2021-04-06 11:19:57 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-04-06 11:19:57 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
""2021-04-06 11:19:57 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
""2021-04-06 11:19:57 INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
""2021-04-06 11:19:57 INFO  s.t.R.controller.ArticleController - Fetched author with ID: 1
"
